論文名,提案モデル,発表年,発表場所,概要,リンク
Ranking Distillation: Learning Compact Ranking Models With High Performance for Recommender System,Ranking Distillation (RD),2018,KDD,推薦システム（Recommender Systems）や情報検索（IR）システムにおいては、ユーザーの要件に対して的確にアイテムを提示する「高精度なランキング（Effectiveness）」と、即座に応答を返す「高速なオンライン推論（Efficiency）」の双方を両立することが重要である。近年の深層学習を用いたモデルは高精度を誇る反面、パラメータ数が膨大であり、オンライン推論時の遅延が大きいという課題があった。 一方で、画像認識分野等で成功している「知識蒸留（Knowledge Distillation: KD）」は、大規模な教師モデルの知識を小規模な生徒モデルへ移行させることでこのジレンマを解決できるが、既存のKDは主にラベルの「分類（Classification）」問題向けに構築されており、順序関係を最適化する「ランキング（Ranking）」問題には直接適用できなかった。,./LLMを用いたレコメンドモデルの蒸留技術/article_summaries/ranking distillation: Learning compact ranking models with high performance for recommender system/summary.md
DE-RRD: A Knowledge Distillation Framework for Recommender System,DE-RRD,2020,CIKM,近年、レコメンドシステム（RS）において、精度を維持しながら推論レイテンシを削減するために「知識蒸留（Knowledge Distillation: KD）」が導入され始めている。代表的な既存の最新KD手法は、以下の通りである。 | 手法 | 論文名 | 出版年 | 手法詳細 | |---|---|---|---| | Ranking Distillation (RD) | Ranking distillation: Learning compact ranking models with high performance for recommender system | 2018 | 教師モデルが予測した未観測アイテム（上位K件）を正例のように扱い、生徒モデルにその関連度確率を学習させるPoint-wiseなアプローチ。,./LLMを用いたレコメンドモデルの蒸留技術/article_summaries/DE-RRD: A Knowledge Distillation Framework for Recommender System/summary.md
Collaborative Distillation for Top-N Recommendation,Collaborative Distillation (CD),2020,KDD,知識蒸留（KD: Knowledge Distillation）は、大規模な教師モデルをより小さな生徒モデルへと圧縮し、推論のレイテンシを削減する効果的な手法として分類タスク等で高く評価されている。しかし、この仕組みをそのまま推薦システムに適用することには困難があった。その主な理由は以下の3点である。 1.,./LLMを用いたレコメンドモデルの蒸留技術/article_summaries/Collaborative Distillation for Top-N Recommendation/summary.md
Topology Distillation for Recommender System,Topology Distillation (TD),2021,KDD,これまでレコメンデーションシステム（RS）の大規模化に伴い、推論時のレイテンシ増加を抑える目的として「知識蒸留（KD）」が適応されてきました。従来の手法であるHint Regression（FitNet）やDE（Distillation from Expert）などは、教師モデルの中間層から得られる各エンティティ（ユーザーやアイテム）ごとの「個別の表現（Point-wise representation）」を生徒モデルに直接近似させることで知識を伝播させています。 しかし、これらの既存手法は「表現空間におけるエンティティ同士の関係性（Relations）」という、RSにおいて最も重要な要素を無視しています。ユーザーの好みやアイテムの特徴は、個人の表現だけでなく、他のユーザーやアイテムとの関係性（例：類似するユーザー群、類似するアイテム群）の中に隠れています。,./LLMを用いたレコメンドモデルの蒸留技術/article_summaries/Topology Distillation for Recommender System/summary.md
Unbiased Knowledge Distillation for Recommendation,Unbiased KD,2023,WSDM,### 知識蒸留（KD）の利点とその落とし穴 大規模な推薦モデルは推論時の遅延を引き起こすため、知識蒸留（KD）により知識を軽量な学生モデルへと転移させるアプローチが一般的です。しかし、既存のKD手法を推薦システムに適用すると、「人気アイテムへの推薦スコアが過剰に強化され、マイナーな（非人気の）アイテムの推薦精度が致命的に低下する」という深刻な「人気度バイアス」の増幅問題があることが判明しました。,./LLMを用いたレコメンドモデルの蒸留技術/article_summaries/Unbiased Knowledge Distillation for Recommendation/summary.md
On-Device Large Language Models for Sequential Recommendation,On-Device LLM Distillation,2024,arXiv,近年の大規模言語モデル（LLM）の目覚ましい発展により、シーケンシャル推薦（ユーザーの過去の行動履歴から次の行動を予測するタスク）においてもLLMが導入され、トップレベルの精度を記録するようになっている。 しかし、LLMはモデルサイズが巨大であり、メモリ使用量や計算コストが非常に高く、SaaSサーバー（クラウド）上での動作を前提としている。一方で、ストリーミングプラットフォームやウェアラブルデバイス、スマートホームなどの実運用環境では、ネットワーク遅延や通信不安定といった問題や、ユーザーごとの視聴履歴・位置情報などのプライバシー保護（データ保護要件）の観点から、ローカルデバイス（エッジデバイス）上での推薦モデルの高速な推論が強く求められている。,./LLMを用いたレコメンドモデルの蒸留技術/article_summaries/On-Device Large Language Models for Sequential Recommendation/summary.md
Distillation Matters: Empowering Sequential Recommenders to Match the Performance of Large Language Model,LLM2Seq Distillation,2024,arXiv,LLM（大規模言語モデル）の強力な意味推論能力により、それを推薦システム（RS）に直接適用する研究が進み、高い精度を達成している。しかし、LLMベースの推薦モデルはその膨大な計算量と推論遅延（Inference latency）により、実際のオンラインシステムへの展開が極めて困難であるという課題を抱えている（例えば、LLMベースの BIGRec は、従来のシーケンシャル推薦モデルである DROS と比較して推論に数万倍の時間を要する）。 これに対処するため、巨大なLLMベースの推薦モデル（教師）から、軽量で高速な従来のシーケンシャルモデル（生徒）への知識蒸留（Knowledge Distillation）が最も有望なアプローチとなる。しかし既存の蒸留戦略をそのまま適用するには3つの大きな課題が存在した： 1.,./LLMを用いたレコメンドモデルの蒸留技術/article_summaries/Distillation Matters: Empowering Sequential Recommenders to Match the Performance of Large Language Model/summary.md
LLMD4Rec: Mutual Distillation Framework,LLMD4Rec,2024,WWW,大規模言語模型（LLM）は意味パターンの理解や生成に優れており、逐次推薦（Sequential Recommendation）において有望視されているものの、推論コストが非常に高く、実用上のボトルネックとなっている。 一方で既存の従来型推薦モデル（CRM: Conventional Recommendation Models）は、推論コストが低く協調フィルタリングの学習に優れているが、LLMのような深い意味的な理解を持たない。,./LLMを用いたレコメンドモデルの蒸留技術/article_summaries/LLMD4Rec: Mutual Distillation Framework/summary.md
RDRec: Rationale Distillation for LLM-based Recommendation,RDRec,2024,WSDM,大規模言語モデル（LLMs）を用いた推薦システム（Recommender Systems）は、その強力な推論能力を活用して、ユーザーとアイテムをテキストプロンプトを介して結びつけることで注目を集めています。しかし、既存のLLMベースの推薦方法（P5やPODなど）は、ユーザーの好みやアイテムの属性といった「インタラクションの背後にある根拠（Rationale）」を十分に考慮していませんでした。例えば、ユーザーのレビューには「戦略を変えるのが楽しい」といった本来の好みが含まれているにもかかわらず、生のテキストをそのまま学習させると「特殊なカード」のようなノイズが混入し、LLMの推論能力の妨げになってしまいます。 本研究では、大規模な言語モデルから「インタラクションの根拠（Rationale）」を蒸留（Distillation）し、より小規模な推薦モデルで学習させる「RDRec（Rationale Distillation recommender）」を提案しています。,./LLMを用いたレコメンドモデルの蒸留技術/article_summaries/RDRec/summary.md
Active Large Language Model-based Knowledge Distillation for Session-based Recommendation,Active-LLM KD,2024,WWW,### LLMを用いた蒸留手法の先行研究と課題 LLMは強力な推論能力と膨大な外部知識を有しており、推薦システムへの応用（LLM-as-recommender等）が盛んに研究されています。しかし、LLMの推論における計算負荷やレイテンシは極めて高いため、低遅延かつ高速な処理能力が要求されるSession-based Recommendation (SBR) やデバイス駆動の推薦システムなどへの直接的な導入は困難です。 この課題を克服するため、LLMを「教師モデル」として推論させた知見を利用し、高速かつ軽量な「生徒モデル（従来のコンパクトな推薦モデル）」を訓練する知識蒸留（KD: Knowledge Distillation）のアプローチが近年台頭しています。これを実現するうえで比較対象となる近年の代表的な先行手法（ベースライン）は以下の通りです。,./LLMを用いたレコメンドモデルの蒸留技術/article_summaries/Active Large Language Model-based Knowledge Distillation for Session-based Recommendation/summary.md
SLMRec: Distilling Large Language Models into Small for Sequential Recommendation,SLMRec,2024,SIGIR,Sequential Recommendation (SR) において、最近のLarge Language Models（LLMs）を用いた手法（LLMRec）は従来手法に比べ大幅な性能向上（約20%）を示しているが、パラメータ数が従来手法の約70倍（0.1Bから7B+）に増加するため、数十億のログを処理する実世界の推薦プラットフォームにデプロイすることは計算コストや時間の観点から非現実的である。 著者らは、LLMの多数の層がSRタスクにおいて本当に必要であるかを調査するため、LLaMa 7Bモデルをベースにモチベーションとなる層数削減の実験（Motivational Experiments）を行った。その結果、LLMにおける深い層（中間以降の層）はSRタスクにおいては冗長であり、一部の中間層を丸ごと削除（プルーニング）して浅い層の構成だけで再学習させても、高い推薦性能が維持できることが判明した。この知見に基づき、大規模なLLMからタスクに特化した小規模なLLMへ知識を直接蒸留し、高い性能と推論速度を両立する効率的な手法の開発が求められた。,./LLMを用いたレコメンドモデルの蒸留技術/article_summaries/SLMRec: Distilling Large Language Models into Small for Sequential Recommendation/summary.md
