論文名,提案モデル,発表年,発表場所,概要,リンク
AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,,2024,arXiv,近年の大規模言語モデル（LLMs）の発展に伴い、複数のLLMエージェントを組み合わせた「マルチエージェント・スキャフォールド（Multi-Agent Scaffolds）」の活用が急速に進んでいる。これらのシステムは、複雑なタスクにおける性能を単一エージェントよりも向上させる一方で、その「安全性（Safety）」に与える影響については十分に研究されてこなかった。従来のアライメント研究は主に単一LLMの安全性（Unipolarシナリオ）に焦点を当てていたが、自律型エージェントの普及により、複数のエージェントが相互作用するMulti-polarな環境下での安全性評価が急務となっている。本論文では、マルチエージェント・スキャフォールドの設計パラダイムにおける潜在的な脆弱性を明らかにし、安全性とタスク性能を両立したスキャフォールドを自動的に探索・生成するための進化的フレームワーク「AgentBreeder」を提案している。,./LLMと逐次改善/article_summaries/AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement/summary.md
Automatic Prompt Optimization with “Gradient Descent” and Beam Search,,2024,arXiv,Large Language Models (LLMs) の性能は入力されるプロンプトに強く依存するが、手動でのプロンプト作成（Prompt Engineering）は多大な試行錯誤を要し、経験的な負担が大きい。既存のプロンプト最適化研究（AutoPromptやSoft Prompt Tuningなど）は、API経由で利用するブラックボックスなLLMには適用できない内部パラメータへのアクセスを前提としていることが多い。一方で、RLPrompt や TEMPERA といった手法は、強化学習やモンテカルロ探索を用いたランダムな離散操作（パラフレーズや単語の入れ替えなど）に依存しており、意味論的に「方向性を持った」最適化（directed optimization）が実現できていなかった。 本研究では、一般的なLLM APIのみを用いて、数値的な勾配降下法（Gradient Descent）のアナロジーを自然言語ベースの対話によって模倣する、シンプルかつ非パラメトリックなプロンプト自動最適化手法「ProTeGi (Prompt Optimization with Textual Gradients)」を提案している。,./LLMと逐次改善/article_summaries/Automatic Prompt Optimization with “Gradient Descent” and Beam Search/summary.md
Black box tuning for language model as a service,,2016,arXiv,大規模な事前学習済み言語モデル (PTMs) 、例えばGPT-3などは、非常に強力な一般化能力を持つ一方で、計算コストやパラメータの秘匿性（商業的理由や悪用リスク）から、それらをローカル環境で直接動かすことは難しく、APIサービス (Language-Model-as-a-Service: LMaaS) として提供されるのが一般的である。 このようなブラックボックスなAPI経由では、モデルの内部パラメータや勾配（Gradients）にアクセスすることができない。そのため、モデルの微調整（Fine-TuningやPrompt Tuningなど）を行う際に必須のバックプロパゲーションが使用できず、高い性能を発揮するタスク特化型のContinuous Prompt（連続値ベクトルによるプロンプト）の最適化は困難とされてきた。特にプロンプト空間は数万次元と高次元になるため、勾配情報を用いないDerivative-Free Optimization (DFO: 勾配フリー最適化) アルゴリズムを直接適用することは計算量的に非現実的であった。,./LLMと逐次改善/article_summaries/Black box tuning for language model as a service/summary.md
Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,,2024,arXiv,,./LLMと逐次改善/article_summaries/Chain-of-Thought Prompting Elicits Reasoning in Large Language Models/summary.md
GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning,,2025,arXiv,近年、大規模言語モデル（LLM）の推論能力を向上させるために、強化学習（RL）などの手法が盛んに研究されている。特にGRPO（Group Relative Policy Optimization）のような強化学習ベースのテスト時計算アプローチが注目を浴びている。 しかし、RLを用いた方策最適化は、膨大な数のロールアウトからの学習（サンプル効率の悪さ）や、スカラー報酬というスパースな信号に依存していることによる学習の難しさといった課題がある。,./LLMと逐次改善/article_summaries/GEPA: REFLECTIVE PROMPT EVOLUTION CAN OUTPERFORM REINFORCEMENT LEARNING/summary.md
"GrIPS: Gradient-free, Edit-based Instruction Search for Prompting Large Language Models",,2024,arXiv,"大規模言語モデル（LLM）に対して自然言語の指示（Instruction）をプロンプトとして与えることは、ゼロショット設定におけるタスク性能を向上させる上で有用なパラダイムである。従来、プロンプトの改善には人間による手動での書き換えや、勾配ベースのチューニングが用いられてきた。しかし、手動での書き換えには多大な時間と主観的な解釈が求められ、一方で勾配ベースのチューニングは大規模なモデルに対しては計算コストが膨大である上、APIベースのモデル（GPT-3など）には内部パラメータや勾配にアクセスできないため適用不可能である。こうした課題を解決するため、本論文では任意のAPIベース言語モデルに対しても適用可能でありながら、人間が読解可能な指示の形を維持しつつ性能を向上させ、勾配を用いない編集ベースの探索手法「GrIPS (Gradient-free, Edit-based Instruction Search for Prompting Large Language Models)」を提案している。","./LLMと逐次改善/article_summaries/GrIPS: Gradient-free, Edit-based Instruction Search for Prompting Large Language Models/summary.md"
Large Language Models Are Human-Level Prompt Engineers (APE),,2022,arXiv,大規模言語モデル（LLMs）は、自然言語の指示（プロンプト）を与えることで様々なタスクを汎用的に解くことができるが、その性能は与えられるプロンプトの質に大きく依存する。これまでは人間が手作業で試行錯誤しながらプロンプトを設計（プロンプトエンジニアリング）していたが、この探索空間は無限であり、どのプロンプトがモデルに最適かは人間には直感的に分かりにくいという課題があった。そこで本研究では、プロンプトの手動設計を脱却し、自然言語の指示を一つの「プログラム」と見立てて、LLM自身に最適な指示を自動生成・選択させるフレームワーク「Automatic Prompt Engineer (APE)」を提案している。,./LLMと逐次改善/article_summaries/Large Language Models Are Human-Level Prompt Engineers/summary.md
LARGE LANGUAGE MODELS AS OPTIMIZERS,,2023,arXiv,最適化（Optimization）は機械学習やオペレーションズ・リサーチをはじめとする多くの分野において不可欠であるが、勾配を持たない（derivative-free）最適化問題においては、探索空間や目的関数の性質に合わせて手作業でヒューリスティックな最適化手法を調整する必要があった。一方、近年発展が著しい大規模言語モデル（LLMs）は、高度な自然言語処理能力を持ち、コンテキスト内情報をゼロショットで理解し適応的な推論を行うことができる。 本研究では、このLLMを「ブラックボックス最適化器（Optimizer）」として直接活用する新しいフレームワーク「Optimization by PROmpting (OPRO)」を提案する。最適化問題を自然言語で記述することで、微細な数式やソルバーを構築することなく、迅速にタスクに適応し、解を探索・最適化することが可能となる。,./LLMと逐次改善/article_summaries/Large Language Models as Optimizers/summary.md
NATURAL LANGUAGE REINFORCEMENT LEARNING,,2024,arXiv,現在、AIエージェントは環境との継続的な相互作用を通じて学習する方向へ進化しているが、従来の強化学習 (RL) には課題があった。従来のRLでは、状態や行動の価値をスカラー値（数値）で表現・圧縮しているため、「なぜその行動の評価が高いのか / 低いのか」という理由（Why）をエージェント自身が深く理解できない。その結果、良い行動を偶然発見するまで試行錯誤を繰り返すだけの受動的なサンプリング（受動的な学習）にならざるを得ず、Reasoning（推論）能力があらかじめ備わっていない小規模モデル等では性能向上が難しい（Chain-of-Thought (CoT) の退化などが起こる）という問題があった。本研究は、この問題を解決し、エージェントが自ら理由を考えながら能動的かつ熟考的に学習（active and deliberative learning）できるフレームワークとして、Natural Language Reinforcement Learning (NLRL) を提案している。,./LLMと逐次改善/article_summaries/NATURAL LANGUAGE REINFORCEMENT LEARNING/summary.md
Promptbreeder: Self-Referential Self-Improvement Via Prompt Evolution,,2024,arXiv,LLM（大規模言語モデル）の推論能力を引き出す上で、Chain-of-Thought（CoT）などのプロンプト戦略は極めて有効です。しかし、これらのプロンプトは人間が手作業で設計（ハンドクラフト）しており、ドメインごとの最適なプロンプト設計には限界がありました。APE（Automatic Prompt Engineer）のようにプロンプトを自動生成・評価する先行研究は存在しますが、数世代の進化で品質が頭打ち（Diminishing Returns）になる課題がありました。本論文では、プロンプトの更新自体をLLMに行わせ、さらに「プロンプトを更新するためのプロンプト（変異プロンプト）」そのものも自己参照的に進化させることで、継続的かつドメインに適応した自己改善を実現する汎用フレームワーク「Promptbreeder（PB）」を提案しています。,./LLMと逐次改善/article_summaries/Promptbreeder: Self-Referential Self-Improvement Via Prompt Evolution/summary.md
REACT: SYNERGIZING REASONING AND ACTING IN LANGUAGE MODELS,,2022,arXiv,大規模言語モデル（LLM）は「Chain-of-Thought（CoT）」のような思考プロセス（Reasoning trace）を生成させる手法により推論能力を飛躍的に高めたが、外部環境へのアクセス（インタラクト）を持たないため知識が更新されず、事実誤認（Hallucination）や情報の欠如によるエラーが発生しやすい課題があった。 一方で、エージェントにとにかく行動（Action）の予測のみを行わせるアプローチは、環境からの情報は得られてもそれを言語的に保持・内省する推論プロセス（ワーキングメモリ等）を持たないため、複雑なタスクでの長期的計画の策定や予測外のエラーからの動的な復帰において困難を抱えていた。,./LLMと逐次改善/article_summaries/REACT: SYNERGIZING REASONING AND ACTING IN LANGUAGE MODELS/summary.md
